birthdate	mail	company	name	user_id	ssn	blood_group	current_location	registration	job	username	residence	station_ID
1970-04-11	ferraboscopina@virgilio.it	Desio-Luria e figli	Dott. Ida Toninelli	1458	DLLSTN41M11I852D	B+	(Decimal('71.1010635'), Decimal('88.163128'))	2024/02/12	Therapist, music	ytafuri		231
	lori82@hotmail.com	Lee-Holland	Jeffrey Brown	46	658-94-1111	O-	(Decimal('-89.8586705'), Decimal('-72.875436'))	2023/12/08		timothy47		221
1961-08-12	fzanzi@virgilio.it	Rinaldi, Polesel e Salieri Group	Atenulf Sermonti-Zaccagnini	1669	BRZMND49A22D650V	B+	(Decimal('66.5957085'), Decimal('-97.170732'))	11/15/2021, 00:00:00		monteverdivincenza		536
	matsudayosuke@gmail.com	株式会社鈴木情報	前田 拓真	499	692-65-4448	B-	(Decimal('-18.497067'), Decimal('156.210933'))	2021/09/18	ウェディングプランナー	nsakamoto		678
1918-07-11	holdenjames@hotmail.com	Smith, Perry and Maynard	Thomas Morales	1906	496-02-0991	O-		05/14/2021, 00:00:00	Designer, jewellery	rgarcia		332
2003-07-20	scheelurs@yahoo.de	Gnatz Stiftung & Co. KG	Alla Eimer	1546	920-45-3835	A+	(Decimal('-82.089676'), Decimal('133.219771'))	2022-04-07		jbien		431
1955-03-30	nakamurataichi@gmail.com	佐藤電気合同会社	森 明美	1367	496-82-4133	AB-	(Decimal('-63.939118'), Decimal('-94.285158'))	14 Sep 2023	栄養士	yui99		363
1942-11-02	imoraes@uol.com.br	Fogaça da Mota e Filhos	Ravy Rocha	1246	31608924769	O+	(Decimal('61.4114545'), Decimal('-55.610763'))	08/22/2023, 00:00:00		isaac76		236
	mark65@hotmail.com	Richardson Group	Paul Rodriguez	141	066-67-3039	B+	(Decimal('-45.4805275'), Decimal('-92.249698'))	04/28/2022, 00:00:00		nguyenhaley		461
	uriccardi@virgilio.it	Maggioli e figli	Gianluigi Cremonesi	276	TRRDLA13B02M418R	O+	(Decimal('78.3303205'), Decimal('139.240585'))	26 Feb 2023		giampaolocostalonga		271
1967-07-06	itokana@yahoo.com	合同会社佐藤情報	西村 里佳	1190	514-89-7017	A+	(Decimal('-48.822935'), Decimal('17.242272'))	2020-08-05		nanami02		540
1956-01-07	agatha77@uol.com.br	Monteiro Farias - ME	Mariah Oliveira	1050	02743195860	A+	(Decimal('2.7878935'), Decimal('-152.034059'))	2024-07-10	Tecnólogo em processos químicos	diogolopes		550
	umbertoamato@libero.it	Molesini SPA	Gino Ruggieri	953	SNDBRL83T55M081X	AB-	(Decimal('-51.3571625'), Decimal('-33.553623'))	2022-06-09	Orthoptist	opeano		352
1959-06-09	fonsecaalice@gmail.com	Pires	Ana Liz Lopes	829	82439607592	O-	(Decimal('-26.2004395'), Decimal('34.863707'))	08/05/2019, 00:00:00	Gagsman	beniciovieira		370
1923-10-01	gpetralli@virgilio.it	Tropea SPA	Federica Pugliese-Luzi	387	FGTLCN28R48M103V	O-	(Decimal('-2.603516'), Decimal('3.913529'))	09/05/2022, 00:00:00		daria77		706
1984-05-21	costaliam@hotmail.com	Pereira e Filhos	Vitor Mendes	618	51968034757	AB+	(Decimal('-33.7018475'), Decimal('6.499971'))	29 Jun 2019		agathavargas		66
1968-12-22	detlefgirschner@hotmail.de	Martin Krause KGaA	Siegmund Striebitz	365	457-66-7957	O-	(Decimal('-30.045552'), Decimal('-3.017273'))	06 Jan 2020		nellilangern		283
1982-05-22	ewhite@yahoo.com	Chambers LLC	Jennifer Morris	1670	409-01-3407	B+	(Decimal('-0.1584925'), Decimal('-20.766057'))	23 Feb 2020	Dispensing optician	connorharris		563
1911-04-23	idaprodi@poste.it	Giolitti s.r.l.	Sig. Arnaldo Caboto	2024	SMNZEI86R70L686U	AB+	(Decimal('80.736926'), Decimal('-8.854749'))	28 Oct 2021		liviasaragat		16
	xheuser@yahoo.de	Hübel Schacht GmbH	Univ.Prof. Bernward Schleich	1332	107-20-5545	AB+	(Decimal('-13.710484'), Decimal('-164.381183'))	05 Jan 2021		hartungsylvester		692
1995-06-28	naoko62@yahoo.com	有限会社阿部電気	田中 淳	70	055-66-7649	AB+	(Decimal('-24.496620'), Decimal('-148.718417'))	07/13/2025, 00:00:00		manabunakamura		106
1984-01-24	andrewbutler@gmail.com	Lester-Jones	Lisa Steele	144	060-99-2028	A-	(Decimal('-68.6365905'), Decimal('-125.779146'))	2022/02/10		wigginsapril		436
1958-10-03	takahashimituru@yahoo.com	伊藤情報有限会社	中村 千代	1278	352-56-9821	B+	(Decimal('-0.4990895'), Decimal('54.246007'))	2023-01-01		nakamurakyosuke		118
2004-02-05	iborges@uol.com.br	Peixoto	Ana Julia Moreira	570	63270495838	B-	(Decimal('75.8206885'), Decimal('135.913958'))	12 Nov 2022		mguerra		344
1964-09-13	ariane96@web.de	Binner Wulf KG	Felizitas Häring	1503	146-07-4223	B+	(Decimal('70.208855'), Decimal('5.229761'))	2020-10-07	Artist	opatberg		577
1951-04-19	isis96@ig.com.br	Farias Ltda.	Liam Ramos	307	21879634031	O-	(Decimal('55.158114'), Decimal('-116.469505'))	07/14/2024, 00:00:00	Podólogo	evieira		600
2002-11-13	adem80@gmail.com	Davids Staude e.G.	Prof. Sieghard Hettner	8	153-86-0722	B+		03/01/2023, 00:00:00		binnerkarolin		318
	robertocassara@libero.it	Cappelli s.r.l.	Durante Jacuzzi	772	BVORMS50B53G475P	A-	(Decimal('8.2884655'), Decimal('147.055864'))	2024/04/21	Industrial buyer	palumboelmo		669
	williambrown@hotmail.com	Medina-Walters	Jason Warren	85	730-50-8477	O-	(Decimal('80.778550'), Decimal('31.432489'))	2020-07-11		qmontoya		131
	catarinaribeiro@gmail.com	Ribeiro	Enzo Gabriel Teixeira	386	04827136580	A-	(Decimal('-49.001650'), Decimal('-19.672947'))	10/31/2023, 00:00:00		das-nevesantonio		263
	poncecynthia@yahoo.com	Manning Group	Richard Benson	1392	785-89-8706	O-	(Decimal('77.3898205'), Decimal('-9.199735'))	03 May 2019	Museum education officer	devin30		109
	raimondo83@gmail.com	Pulci-Tamburini e figli	Dott. Giustino Bartoli	487	CPNBNT06C50E394X	O-		2019/10/05		daniele68		94
2019-11-30	giovanni80@live.com	Proietti s.r.l.	Atenulf Battaglia	644	CNCBRT14H70L984Z	B+	(Decimal('-57.9003345'), Decimal('124.754375'))	2022/06/09		lisabondumier		325
2008-08-21	jesse56@gmail.com	Kemp-Olson	John Davis	1473	198-66-3531	O+	(Decimal('-5.7195155'), Decimal('38.373483'))	05/03/2023, 00:00:00		brewerbrandy		593
	krocca@libero.it	Forza-Sgarbi s.r.l.	Susanna Ferragni	2130	MNLTRS24M29G424A	AB-	(Decimal('56.0534995'), Decimal('-150.732310'))	11/01/2020, 00:00:00	Health visitor	lucianacarriera		152
	ryamada@gmail.com	株式会社岡田農林	中川 篤司	601	800-54-1642	B+	(Decimal('65.456448'), Decimal('27.499117'))	12 Dec 2023		yamadaosamu		246
	ryszard25@gmx.de	Nette	Siegmund Pruschke-Rädel	1012	462-85-2866	B-	(Decimal('33.852782'), Decimal('43.972092'))	22 Jun 2019		patbergswetlana		624
1959-04-15	saitoryohei@hotmail.com	林鉱業有限会社	山本 桃子	1444	406-53-3988	B+	(Decimal('-22.1190875'), Decimal('-174.870000'))	05/24/2021, 00:00:00		mikakonakamura		86
	sbragaglia@virgilio.it	Camicione SPA	Antonietta Comisso-Musatti	1198	MRCSNN12D58B962B	A-	(Decimal('-28.117241'), Decimal('2.494797'))	02/14/2022, 00:00:00		qtoso		505
1996-07-02	zorbachlena@gmail.com	Zobel GmbH	Eckehard Scholtz	1118	872-18-2887	O-	(Decimal('3.8991515'), Decimal('63.307685'))	28 Jul 2023		prudolph		11
	grecoguglielmo@live.com	Gasperi, Morandi e Tozzo s.r.l.	Gustavo Ughi-Mastandrea	1070	BNCSRN93C30C848E	A-	(Decimal('62.498154'), Decimal('135.529817'))	08 Nov 2021		silvestro06		541
1969-03-23	takahashitakuma@gmail.com	山下農林有限会社	佐藤 稔	686	411-10-3459	B-	(Decimal('57.3816825'), Decimal('-123.777649'))	06/15/2025, 00:00:00	救急救命士	naoki10		182
2011-11-27	pesparza@gmail.com	Webb LLC	Ricardo Walker	885	622-97-6687	O-	(Decimal('-45.402221'), Decimal('-159.508863'))	2024-02-21	Teacher, adult education	shaun52		605
	ypagnotto@hotmail.com	Ferrucci, Romiti e Carfagna SPA	Romina Zanazzo	857	BRGGNN65L53B778V	O+	(Decimal('-53.667911'), Decimal('112.778802'))	2023/01/14		fiorenzoguariento		542
1971-05-20	qota@gmail.com	高橋印刷有限会社	田中 千代	1976	397-62-7000	O-	(Decimal('53.3846305'), Decimal('-140.845673'))	2020/05/22		taichi80		347
1982-04-22	lucasfonseca@ig.com.br	Castro	Pedro da Rocha	336	04326791896	B+	(Decimal('50.3829745'), Decimal('78.980616'))	07/04/2022, 00:00:00	Intérprete	luisa24		571
1944-06-26	yuiito@hotmail.com	株式会社渡辺銀行	田中 あすか	1645	003-14-1832	O-	(Decimal('38.8325505'), Decimal('-107.552923'))	2022-10-08		dyamazaki		40
1939-10-21	lmeucci@tiscali.it	Sansoni s.r.l.	Domenico Zetticci	2125	TNCSIA84A24E489Q	A+	(Decimal('-74.3326695'), Decimal('54.717533'))	10/30/2024, 00:00:00		rsalvemini		680
1938-12-23	jroehricht@web.de	Wagenknecht	Serpil Krause	1556	279-76-8002	A+	(Decimal('-15.840967'), Decimal('130.391763'))	12/20/2024, 00:00:00		lachmanncarina		81
1952-01-15	lodovico15@outlook.com	Petrassi, Argurio e Morandini SPA	Piergiuseppe Castellitto	16	PSNMLN01D20E245E	AB+	(Decimal('16.882316'), Decimal('147.500533'))	2020/09/16		ebosurgi		176
1995-02-03	yosukenakagawa@yahoo.com	合同会社高橋ガス	山田 涼平	727	548-28-0866	B-	(Decimal('61.913997'), Decimal('-28.735600'))	21 Feb 2023		satomiki		672
1978-02-24	dvolta@yahoo.com	Volterra-Anguillara SPA	Antonio Foletti	1410	CMRPLA84E11C439I	AB-	(Decimal('-33.875921'), Decimal('-125.826879'))	10 Dec 2018		ludovico05		468
	yasuhirosaito@hotmail.com	合同会社加藤電気	渡辺 直子	1043	598-90-1777	O+	(Decimal('-89.319897'), Decimal('38.933965'))	12/10/2024, 00:00:00		yosukewatanabe		589
	omeyers@yahoo.com	Schultz, Payne and Meyer	Derek Dorsey	430	055-42-8131	O-	(Decimal('-1.195426'), Decimal('-142.250051'))	01/17/2020, 00:00:00		ruizjeffrey		343
	yukisato@yahoo.com	合同会社岡田電気	中村 陽子	1226	405-98-1176	AB+		2019/05/29		satochiyo		691
2001-10-08	ramazan57@gmx.de	Mans GbR	Zehra Rörricht	2136	815-94-1752	A-		2021-06-05		alfonsotrapp		583
	nanami89@yahoo.com	有限会社加藤情報	伊藤 香織	1198	516-67-5149	AB+	(Decimal('-69.7257095'), Decimal('-40.775767'))	12/26/2020, 00:00:00		ryosukehasegawa		36
1972-06-20	gmontenegro@gmail.com	Pinto e Filhos	Allana Pimenta	1222	15048723635	O+	(Decimal('17.791105'), Decimal('-164.536872'))	2022/07/12		pereiraagatha		215
1966-05-10	siegried83@yahoo.de	Weitzel Weller GmbH	Uta Eberhardt	1154	065-18-9796	AB+	(Decimal('-27.1212035'), Decimal('-22.603774'))	10/01/2024, 00:00:00	Bäcker	eotto		336
1944-10-19	andrewmoran@hotmail.com	Bishop Inc	Theresa Jones	2124	092-11-1386	AB-		15 Dec 2019	Freight forwarder	nhopkins		548
1912-09-10	yutatanaka@hotmail.com	渡辺食品有限会社	山田 充	1276	045-85-3978	A+	(Decimal('46.799732'), Decimal('-113.272932'))	2023/08/19		ssato		631
1923-11-28	scarponisantino@gmail.com	Paltrinieri-Luna e figli	Ilaria Leone-Combi	1043	BRBGRM54P66M314J	A+	(Decimal('53.588517'), Decimal('55.993572'))	21 Dec 2023		allegragadda		463
1979-04-21	katherinesmith@hotmail.com	Ryan-Hart	Christina Johnston	2135	631-17-5508	O-		2021/12/06	Multimedia specialist	glovermichelle		160
1996-12-08	julianseip@gmail.com	Haase Hendriks AG & Co. OHG	Cynthia Beer	1659	901-36-4410	B+	(Decimal('51.8558655'), Decimal('-115.045062'))	2023-08-08		junitzurszula		231
1933-01-08	dawnjimenez@yahoo.com	Dean, Martinez and Love	John Kelley	1427	845-69-0344	B-	(Decimal('-77.436409'), Decimal('-130.432700'))	25 Jan 2022		ryan29		581
2009-01-01	yumikosato@gmail.com	中村鉱業合同会社	林 直樹	479	486-29-6178	A-	(Decimal('3.6363525'), Decimal('8.447087'))	01 Jan 2024		watanabejun		311
	vanessatrobbiani@gmail.com	Antelami, Rossellini e Anguillara e figli	Arsenio Trebbi	1302	PLMLNE83S14I278U	B-	(Decimal('-76.3735635'), Decimal('69.607316'))	09/06/2021, 00:00:00		bellinifortunata		561
	nakagawahiroshi@hotmail.com	合同会社斎藤食品	中村 直樹	2158	450-83-3729	O-		2020-05-21		asuzuki		537
	florafattori@gmail.com	Sibilia SPA	Dott. Annalisa Ginesio	123	LRNCPN85L45G011I	O-	(Decimal('17.6732355'), Decimal('-123.044393'))	04/10/2021, 00:00:00		iciani		145
1926-11-03	dpereira@hotmail.com	Duarte S.A.	Antony Montenegro	91	68205491720	AB+		05/10/2020, 00:00:00		pintonicolas		574
	ayalaisabella@hotmail.com	Fleming, Richard and Gordon	Jessica Stewart	1521	848-38-4636	O+	(Decimal('87.5059385'), Decimal('169.358156'))	03/13/2021, 00:00:00	Neurosurgeon	boydkristi		215
1999-04-18	britodavi-miguel@bol.com.br	Araújo Rodrigues e Filhos	Enzo Montenegro	543	68423917509	B-	(Decimal('-30.8945155'), Decimal('133.213323'))	2022/07/13		azevedolavinia		50
	torbenkade@web.de	Gude	Lilian Staude	1216	022-38-3846	AB-	(Decimal('39.722956'), Decimal('-12.871827'))	21 Jan 2020		oestrovskylia		535
	vitor-hugobarbosa@gmail.com	Farias	Bernardo Farias	731	65324971855	A+	(Decimal('-68.458834'), Decimal('-31.178309'))	08/10/2019, 00:00:00	Sushiman	psa		545
	ryoheiokada@yahoo.com	山本水産合同会社	池田 康弘	1486	073-86-7393	AB-	(Decimal('54.6095225'), Decimal('137.799065'))	05 Jan 2020	救急救命士	atsushiyoshida		139
1927-07-13	tedescovenancio@gmail.com	Bajamonti-Renault s.r.l.	Michele Bianchini-Nicoletti	1173	BBGLCN80M58I477R	B+	(Decimal('-73.421960'), Decimal('33.861009'))	2024-03-18		qricolfi		669
1913-08-17	wtoscani@hotmail.com	Gottardi SPA	Dott. Nanni Cignaroli	259	RDEDNL92P58D430Q	B+	(Decimal('26.2876625'), Decimal('25.191294'))	03/13/2020, 00:00:00		giustifederica		312
2016-01-27	chiyonakamura@hotmail.com	山崎鉱業合同会社	佐藤 陽一	1691	755-13-4631	AB+	(Decimal('76.166477'), Decimal('-85.948959'))	2022-03-18		yamamototakuma		434
1935-11-25	lucia83@fastwebnet.it	Ortolani SPA	Emma Fattori	474	NFNRMN67B54I219I	AB-	(Decimal('-1.7228265'), Decimal('179.448255'))	31 Mar 2021	Forensic scientist	serafinacabrini		376
	lnakagawa@gmail.com	有限会社鈴木保険	岡田 陽子	1377	624-25-3493	O+	(Decimal('66.0359145'), Decimal('-100.229030'))	2021-12-28		inouesatomi		91
2007-07-07	tonyaperez@hotmail.com	Bowen, Dawson and Smith	Raymond Gray	1617	791-23-7640	A+	(Decimal('57.266032'), Decimal('-63.983437'))	12/29/2019, 00:00:00		brownmark		235
2013-02-25	lorenzomoura@yahoo.com.br	Sampaio	Bianca Vieira	1901	42319685006	A+	(Decimal('-72.970660'), Decimal('6.950308'))	2025-05-03		sandrade		350
1969-07-11	frankcasey@yahoo.com	Morris, Woods and Nelson	Mary King	243	248-11-2560	O+	(Decimal('-10.0839945'), Decimal('-40.772746'))	01 Jul 2023		michelle19		282
	nakagawaminoru@yahoo.com	合同会社山田通信	森 太一	1154	027-06-5216	O-	(Decimal('-31.267928'), Decimal('-131.440510'))	11/03/2020, 00:00:00		dhasegawa		154
	mikako93@yahoo.com	近藤水産有限会社	吉田 涼平	1348	698-77-6763	O-	(Decimal('72.062354'), Decimal('52.436976'))	2023-07-04		wtanaka		62
	hidekiyamamoto@yahoo.com	石井運輸株式会社	佐藤 裕美子	658	142-90-7212	A-	(Decimal('55.7383185'), Decimal('-139.858566'))	2024-01-17	アートディレクター	reisuzuki		144
1983-10-15	xribeiro@ig.com.br	Pires da Conceição e Filhos	Srta. Juliana Pacheco	249	16529738002	B+	(Decimal('51.3713935'), Decimal('104.488446'))	01/07/2025, 00:00:00		francisco94		280
1921-03-25	jbohnbach@gmail.com	Eberth Stiftung & Co. KGaA	Jeanette Schacht-Scholl	358	010-31-3963	B-	(Decimal('6.572422'), Decimal('-27.108379'))	11/28/2018, 00:00:00		daniele97		602
	danilo55@yahoo.de	Schmidt GmbH	Monica Mude	1707	065-96-5880	A+	(Decimal('32.557914'), Decimal('-177.402803'))	15 Nov 2023		bekir53		36
	ferreirarafael@uol.com.br	Araújo	Otto Cardoso	140	08241796331	A-	(Decimal('84.698432'), Decimal('-167.043194'))	2019/12/20		nathan43		528
	veronicabandello@gmail.com	Volta s.r.l.	Giulio Morellato	648	CNDMDA07A49A605C	B+	(Decimal('-16.0441075'), Decimal('66.590965'))	02/14/2025, 00:00:00	Clinical biochemist	benito81		559
1999-04-26	jonathan67@hotmail.com	Gaines, Crane and Long	Stephanie Owens	1057	055-16-4344	O+	(Decimal('-23.6954195'), Decimal('-77.041241'))	14 May 2021		combskimberly		262
	rolando38@libero.it	Binaghi-Poerio SPA	Valeria Bonanno	2117	DLLRND98E71A501Q	O+	(Decimal('49.048773'), Decimal('-32.291592'))	07/05/2025, 00:00:00		pizzettisalvi		139
	bernardo17@ig.com.br	Sá Pimenta Ltda.	Leandro Novaes	1754	50148793657	O-	(Decimal('12.755573'), Decimal('90.767248'))	23 Dec 2021		enricobarros		293
	saitoosamu@yahoo.com	石井印刷株式会社	鈴木 充	1913	788-77-8176	AB+	(Decimal('19.574399'), Decimal('-141.970005'))	23 Jun 2019		akira40		311
	otaviomonteiro@gmail.com	da Cruz S/A	Melina da Rosa	2075	79832516021	A-	(Decimal('-35.911226'), Decimal('-174.676570'))	25 Jul 2021		marianacassiano		25
1945-01-31	labe@hotmail.com	合同会社吉田農林	渡辺 翔太	328	823-41-5951	A-	(Decimal('-57.689656'), Decimal('148.931017'))	18 Jun 2025	薬剤師	momoko37		64
	krezende@bol.com.br	Borges Aragão S.A.	Yuri Vieira	2005	89406215306	B-	(Decimal('31.272510'), Decimal('177.618047'))	02 Sep 2022		ynovais		430
	drios@gmail.com	Campos	Ester Abreu	737	40523678983	O-	(Decimal('-51.7707835'), Decimal('-13.521301'))	15 Jul 2020	Profissional de cinema	pachecoraquel		9
2009-10-11	barthhans-erich@gmail.com	Scholz	Prof. Phillip Christoph B.A.	2102	822-22-1721	A+	(Decimal('20.351970'), Decimal('95.020709'))	2024/09/06	Fleischer	drubincarolin		315
	hunterjeremy@yahoo.com	Hudson, Colon and Moreno	Jesse Washington	629	364-82-0419	AB-	(Decimal('-62.687580'), Decimal('103.729614'))	02 Sep 2021	Civil Service administrator	ian71		170
1951-07-17	maura47@live.com	Brenna-Nadi e figli	Gioele Montanariello	2042	CRSLSE45T10E047N	O+	(Decimal('82.0198045'), Decimal('127.783737'))	2025-04-07	Designer, fashion/clothing	luzimaurilio		365
1973-11-25	jaekelsonja@googlemail.com	Huhn Hethur AG	Robin Gotthard	2079	540-54-7215	A+	(Decimal('46.7982165'), Decimal('25.114171'))	2024/10/11		geraldine30		60
	fostersarah@gmail.com	Williams PLC	Brandon Glover	782	074-11-3732	B+	(Decimal('67.5238875'), Decimal('-177.139758'))	2024/04/06		gregoryweaver		163
1974-07-19	asaito@gmail.com	株式会社長谷川農林	松本 春香	1083	230-65-2356	AB+	(Decimal('47.374032'), Decimal('178.344214'))	2020/06/17	医師	wikeda		579
	prossini@gmail.com	Donarelli, Quasimodo e Olivetti e figli	Ippazio Scarfoglio	1231	PLLLSS18L21M378O	AB+	(Decimal('-14.2178705'), Decimal('-122.236201'))	11/09/2024, 00:00:00		baldassare48		562
	zlussu@alice.it	Versace-Luxardo SPA	Simonetta Praga	770	BNLVRL78M47G888R	O+	(Decimal('-89.859727'), Decimal('-98.207285'))	10/16/2022, 00:00:00		toninelligastone		495
	scottblake@hotmail.com	Williams-Cline	Crystal Kline	1794	098-30-8408	O+	(Decimal('-73.2538235'), Decimal('-11.775485'))	25 May 2019	Medical technical officer	tflowers		184
2016-10-14	wkobayashi@hotmail.com	鈴木電気合同会社	鈴木 明美	471	287-59-1708	AB-	(Decimal('53.1658065'), Decimal('-128.744237'))	2023/09/19		pwatanabe		664
	ihernandez@yahoo.com	Parker, Martinez and Singh	Sherri Walker	1694	567-47-4303	AB-	(Decimal('-67.9120815'), Decimal('100.148073'))	05/30/2023, 00:00:00	Financial controller	holmesashley		152
1941-08-01	mesut13@googlemail.com	Röhricht e.V.	Zeki Franke-Mangold	886	841-01-4347	AB-	(Decimal('-64.0382675'), Decimal('125.731602'))	01/04/2020, 00:00:00		ottokar87		488
	hughestara@yahoo.com	White, Thompson and Mclaughlin	Douglas Jones	1929	295-33-6386	AB-	(Decimal('13.372232'), Decimal('40.538415'))	21 May 2022		charlotte10		357
2024-06-03	katorei@yahoo.com	有限会社吉田銀行	吉田 智也	1712	797-44-6896	O+	(Decimal('-57.249667'), Decimal('-159.847523'))	2019-09-02		yuta13		461
1949-01-04	jon44@gmail.com	Mann-Barnett	George Nelson	1075	335-77-1246	O-	(Decimal('-75.452921'), Decimal('73.329042'))	2019/04/19		tylerdawson		228
	zimmerfalk@yahoo.de	Eimer Gierschner GmbH & Co. KG	Janos Schacht	585	156-73-9463	AB-	(Decimal('-86.2601305'), Decimal('82.778251'))	06 Jun 2025	Fleischer	rosiholzapfel		257
	wscholl@gmx.de	Römer AG & Co. KG	Stephan Winkler	986	125-21-6891	B+	(Decimal('56.2015005'), Decimal('-8.202077'))	2023/08/15		roserudolph		256
1918-10-15	theresetrupp@hotmail.de	Eigenwillig	Univ.Prof. Gerti Haase	1348	316-57-8964	B-	(Decimal('5.114054'), Decimal('92.495863'))	2022-08-01	Artist	thiesangelina		285
	camillopedersoli@tele2.it	Falcone-Venturi s.r.l.	Ivan Sansoni	1608	PTRNNI58L23D761B	AB-	(Decimal('-29.5185895'), Decimal('-81.449376'))	10 May 2025		ptartaglia		629
1973-06-16	imaeda@gmail.com	鈴木農林有限会社	山口 香織	1615	673-02-8899	B-	(Decimal('62.7661265'), Decimal('39.792550'))	11/11/2019, 00:00:00		asukayamaguchi		700
	kferreira@yahoo.com.br	Almeida	Levi Vargas	1655	18903254732	B+	(Decimal('-34.232348'), Decimal('44.322012'))	08/24/2023, 00:00:00	Tecnólogo em recursos pesqueiros	qsiqueira		136
	zkoch@yahoo.de	Bohnbach Anders GmbH & Co. KG	Hasan Liebelt	1402	518-78-5234	AB+	(Decimal('30.387186'), Decimal('29.896660'))	11/06/2021, 00:00:00		hannah78		112
	annemie56@hotmail.de	Wirth	Adelbert Ehlert	521	576-17-3800	AB+	(Decimal('2.103345'), Decimal('116.335728'))	04 Jul 2021	Florist	mentzelcathleen		520
